,interaction_id,interaction_type,id_bacterium,acc_bacterium,bact_strain,bact_specie,bact_genus,id_phage,acc_phage,phage_name
1200,10957,1,4663,NZ_CP014196.1,ATCC 21022,Arthrobacter sp.,Arthrobacter,6041,NA,Arthrobacter_phage_OurGirlNessie
1201,10958,1,4752,NZ_JNHS00000000.1,ATCC 6919,Cutibacterium acnes,Cutibacterium,6042,KR337654,Propionibacterium_phage_Ouroboros
1202,10959,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,6043,KR824843,Mycobacterium_phage_Ovechkin
1203,10960,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,6044,NA,Mycobacterium_phage_OwlsT2W
1204,10961,1,4663,NZ_CP014196.1,ATCC 21022,Arthrobacter sp.,Arthrobacter,6045,KX688102,Arthrobacter_phage_Oxynfrius
1205,10962,1,4657,NZ_APVM00000000.1,1326,Streptomyces lividans,Streptomyces,6046,NA,Streptomyces_phage_OzzyJ
1206,10963,1,4752,NZ_JNHS00000000.1,ATCC 6919,Cutibacterium acnes,Cutibacterium,6047,JX262223,Propionibacterium_phage_P1.1
1207,10982,1,4752,NZ_JNHS00000000.1,ATCC 6919,Cutibacterium acnes,Cutibacterium,6049,JX262221,Propionibacterium_phage_P100A
1208,10983,1,4752,NZ_JNHS00000000.1,ATCC 6919,Cutibacterium acnes,Cutibacterium,6050,JX262220,Propionibacterium_phage_P100D
1209,10984,1,4752,NZ_JNHS00000000.1,ATCC 6919,Cutibacterium acnes,Cutibacterium,6051,JX262217,Propionibacterium_phage_P101A
1210,10985,1,4752,NZ_JNHS00000000.1,ATCC 6919,Cutibacterium acnes,Cutibacterium,6052,JX262218,Propionibacterium_phage_P104A
1211,10986,1,4752,NZ_JNHS00000000.1,ATCC 6919,Cutibacterium acnes,Cutibacterium,6053,NA,Propionibacterium_phage_P104B
1212,11005,1,4752,NZ_JNHS00000000.1,ATCC 6919,Cutibacterium acnes,Cutibacterium,6055,NA,Propionibacterium_phage_P106A
1213,11006,1,4752,NZ_JNHS00000000.1,ATCC 6919,Cutibacterium acnes,Cutibacterium,6056,NA,Propionibacterium_phage_P106C
1214,11025,1,4752,NZ_JNHS00000000.1,ATCC 6919,Cutibacterium acnes,Cutibacterium,6058,NA,Propionibacterium_phage_P106L
1215,11026,1,4752,NZ_JNHS00000000.1,ATCC 6919,Cutibacterium acnes,Cutibacterium,6059,NA,Propionibacterium_phage_P106M
1216,11045,1,4752,NZ_JNHS00000000.1,ATCC 6919,Cutibacterium acnes,Cutibacterium,6061,NA,Propionibacterium_phage_P107C
1217,11046,1,4752,NZ_JNHS00000000.1,ATCC 6919,Cutibacterium acnes,Cutibacterium,6062,NA,Propionibacterium_phage_P108C
1218,11047,1,4752,NZ_JNHS00000000.1,ATCC 6919,Cutibacterium acnes,Cutibacterium,6063,JX262216,Propionibacterium_phage_P14.4
1219,11048,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,6064,NA,Mycobacterium_phage_P28Green
1220,11049,1,4752,NZ_JNHS00000000.1,ATCC 6919,Cutibacterium acnes,Cutibacterium,6065,JX262215,Propionibacterium_phage_P9.1
1221,11068,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,6067,FJ174692,Mycobacterium_phage_Pacc40
1222,11069,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,6068,KX574454,Mycobacterium_phage_PacerPaul
1223,11070,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,6069,JF704110,Mycobacterium_phage_PackMan
1224,11089,1,4657,NZ_APVM00000000.1,1326,Streptomyces lividans,Streptomyces,6071,NA,Streptomyces_phage_Paedore
1225,11090,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,6072,NA,Mycobacterium_phage_Paito
1226,11091,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,6073,KY083061,Mycobacterium_phage_Palestino
1227,11092,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,6074,NA,Mycobacterium_phage_Panamaxus
1228,11093,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,6075,KU935727,Mycobacterium_phage_Panchino
1229,11094,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,6076,NA,Mycobacterium_phage_Paola
1230,11095,1,4718,NC_018750.1,ATCC 10712,Streptomyces venezuelae,Streptomyces,6077,KY092481,Streptomyces_phage_PapayaSalad
1231,11096,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,6078,NA,Mycobacterium_phage_Paperbeatsrock
1232,11097,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,6079,KX369586,Mycobacterium_phage_Papez
1233,11098,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,6080,KF416342,Mycobacterium_phage_Papyrus
1234,11099,1,4677,NZ_CP016594.1,3612,Gordonia terrae,Gordonia,6081,NA,Gordonia_phage_Parada
1235,11101,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,6083,KT438500,Mycobacterium_phage_Pari
1236,11102,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,6084,NA,Mycobacterium_phage_ParkTD
1237,11103,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,6085,NA,Mycobacterium_phage_Parmesanjohn
1238,11129,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,6088,NA,Mycobacterium_phage_Pat3
1239,11130,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,6089,JN412589,Mycobacterium_phage_Patience
1240,11131,1,4677,NZ_CP016594.1,3612,Gordonia terrae,Gordonia,6090,MF919542,Gordonia_phage_Patio
1241,11132,1,4677,NZ_CP016594.1,3612,Gordonia terrae,Gordonia,6091,KU998252,Gordonia_phage_PatrickStar
1242,11133,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,6092,NA,Mycobacterium_phage_Patter
1243,11134,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,6093,KC661273,Mycobacterium_phage_PattyP
1244,11135,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,6094,DQ398047,Mycobacterium_phage_PBI1
1245,11136,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,6095,GQ303263,Mycobacterium_phage_Peaches
1246,11137,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,6096,MF185722,Mycobacterium_phage_Peanam
1247,11138,1,4657,NZ_APVM00000000.1,1326,Streptomyces lividans,Streptomyces,6097,MF347638,Streptomyces_phage_Peebs
1248,11139,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,6098,KC900379,Mycobacterium_phage_PegLeg
1249,11140,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,6099, KX458237,Mycobacterium_phage_Penny1
1250,11141,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,6100,KT818595,Mycobacterium_phage_Pepe
1251,11150,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,6103,JN572689,Mycobacterium_phage_Perseus
1252,11151,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,6104,NA,Mycobacterium_phage_PeterPeter
1253,11153,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,6106,NA,Mycobacterium_phage_Petp2012
1254,11155,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,6108,NA,Mycobacterium_phage_Petra64142
1255,11156,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,6109,KY213952,Mycobacterium_phage_Petruchio
1256,11163,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,6112,AF547430,Mycobacterium_phage_PG1
1257,11164,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,6113,NA,Mycobacterium_phage_PGHhamlin
1258,11165,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,6114,MG099947,Mycobacterium_phage_Ph8s
1259,11166,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,6115,MF668280,Mycobacterium_phage_Phabba
