,acc_bact,design_phage,id_bact,id_phage,interaction_id_old_db
312,NZ_CP014196.1,Arthrobacter_phage_Chestnut,153,2239,9857
313,NC_018289.1,Mycobacterium_phage_ChickenPhender,5859,2241,9865
314,NC_018289.1,Mycobacterium_phage_Chill,5859,2242,9866
315,NC_018289.1,Mycobacterium_phage_ChipMunk,5859,2243,9867
316,NZ_CP014196.1,Arthrobacter_phage_Chipper1996,153,2244,9868
317,NZ_CP014196.1,Arthrobacter_phage_Chocolat,153,2245,9869
318,NZ_CP014196.1,Arthrobacter_phage_Cholula,153,2246,9870
319,NC_018289.1,Mycobacterium_phage_Chorkpop,5859,2247,9871
320,NC_018289.1,Mycobacterium_phage_ChosenOne,5859,2248,9872
321,NC_018289.1,Mycobacterium_phage_ChrisnMich,5859,2249,9873
322,NZ_CP014196.1,Arthrobacter_phage_Christian,153,2250,9874
323,NZ_CP014196.1,Arthrobacter_phage_Chubster,153,2251,9875
324,NC_018289.1,Mycobacterium_phage_Chuckly,5859,2252,9876
325,NC_018289.1,Mycobacterium_phage_Chunky,5859,2253,9877
326,NC_018289.1,Mycobacterium_phage_Chupacabra,5859,2254,9878
327,NC_018750.1,Streptomyces_phage_Chymera,126,2255,9879
328,NC_018289.1,Mycobacterium_phage_Cindaradix,5859,2256,9880
329,NZ_CP014196.1,Arthrobacter_phage_Circum,153,2257,9881
330,NC_018289.1,Mycobacterium_phage_Citius,5859,2258,9882
331,NC_018289.1,Mycobacterium_phage_Cjw1,5859,2259,9883
332,NC_018289.1,Mycobacterium_phage_Clarenza,5859,2260,9884
333,NC_018289.1,Mycobacterium_phage_Clautastrophe,5859,2261,9885
334,NC_018289.1,Mycobacterium_phage_CLED96,5859,2262,9886
335,NC_018289.1,Mycobacterium_phage_CloudWang3,5859,5389,9887
336,NZ_CP016594.1,Gordonia_phage_ClubL,1869,5390,9888
337,NC_018289.1,Mycobacterium_phage_Cobra,5859,2263,9889
338,NC_018289.1,Mycobacterium_phage_Cocoaberry,5859,2264,9890
339,NZ_CP016594.1,Gordonia_phage_Coeur,1869,2265,9891
340,NC_018289.1,Mycobacterium_phage_Coffee,5859,2266,9892
341,NC_018289.1,Mycobacterium_phage_Colbert,5859,5391,9893
342,NC_018289.1,Mycobacterium_phage_Collard,5859,2267,9894
343,NC_018289.1,Mycobacterium_phage_Colt,5859,2268,9895
344,NZ_CP014196.1,Arthrobacter_phage_Colucci,153,2269,9896
345,NC_018289.1,Mycobacterium_phage_Command613,5859,2270,9897
346,NC_018289.1,Mycobacterium_phage_Commander,5859,2271,9898
347,NC_018289.1,Mycobacterium_phage_Compostia,5859,2272,9899
348,NZ_CP014196.1,Arthrobacter_phage_Conboy,153,2274,9901
349,NC_018289.1,Mycobacterium_phage_ConceptII,5859,2275,9902
350,NZ_CP016594.1,Gordonia_phage_Confidence,1869,2276,9903
351,NC_018289.1,Mycobacterium_phage_Connomayer,5859,2277,9904
352,NC_018289.1,Mycobacterium_phage_Conquerage,5859,2278,9905
353,NC_018289.1,Mycobacterium_phage_Conspiracy,5859,5392,9906
354,NC_018289.1,Mycobacterium_phage_Contagion,5859,5393,9907
355,NC_018289.1,Mycobacterium_phage_Coog,5859,2279,9908
356,NC_018289.1,Mycobacterium_phage_Cookies,5859,2280,9909
357,NC_018289.1,Mycobacterium_phage_Cooper,5859,5394,9910
358,NZ_CP014196.1,Arthrobacter_phage_Copper,153,2281,9911
359,NC_018289.1,Mycobacterium_phage_Corndog,5859,2282,9912
360,NC_018289.1,Mycobacterium_phage_Cornie,5859,2283,9913
361,NC_018289.1,Mycobacterium_phage_Cornucopia,5859,2284,9914
362,NC_018289.1,Mycobacterium_phage_Corofin,5859,2285,9915
363,NZ_CP014196.1,Arthrobacter_phage_Correa,153,2286,9916
364,NC_018289.1,Mycobacterium_phage_Corvo,5859,2287,9917
365,NC_018289.1,Mycobacterium_phage_Cosmo,5859,2288,9925
366,NC_018289.1,Mycobacterium_phage_Cosmolli16,5859,2289,9926
367,NZ_JNHS00000000.1,Propionibacterium_phage_Cota,5731,2290,9927
368,NC_018289.1,Mycobacterium_phage_Courthouse,5859,2291,9928
369,NZ_CP014196.1,Arthrobacter_phage_Courtney3,153,2292,9929
370,NZ_CP016594.1,Gordonia_phage_Cozz,1869,5396,9930
371,NC_018289.1,Mycobacterium_phage_Craff,5859,2293,9931
372,NC_018289.1,Mycobacterium_phage_CRB1,5859,5397,9932
