organism_ptr_id,designation,baltimore_classification_id
2538,Mycobacterium_phage_Goose,NULL
2539,Arthrobacter_phage_Gordon,NULL
2540,Arthrobacter_phage_Gorgeous,NULL
2541,Gordonia_phage_Gorko,NULL
2542,Mycobacterium_phage_Grand2040,NULL
2543,Gordonia_phage_Gravy,NULL
2544,Rhodococcus_phage_Grayson,NULL
2545,Mycobacterium_phage_GreaseLightnin,NULL
2546,Mycobacterium_phage_GreedyLawyer,NULL
2547,Arthrobacter_phage_GreenHearts,NULL
2548,Arthrobacter_phage_Greenhouse,NULL
2549,Mycobacterium_phage_Greg,NULL
2550,Mycobacterium_phage_Grizzly,NULL
2551,Mycobacterium_phage_Groupthink,NULL
2552,Mycobacterium_phage_Grum1,NULL
2553,Mycobacterium_phage_Gruunaga,NULL
